System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
41 Andromedae,,,41,,,,Andromedae,,HD 6658 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,126.0833661,-18.828203,16.432,A3m ,,,,,,,,,,,,,,,,,,,,,,,,,,,
44 Andromedae,,,44,,,,Andromedae,,HD 6920 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,126.6729978,-20.65312922,18.8145,F8V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 Andromedae,,,45,,,,Andromedae,,HD 7019 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,127.2355452,-24.98267067,4.9479,B7III-IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 Andromedae,,,47,,,,Andromedae,,HD 8374 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,129.9451401,-24.7173891,15.7619,A2Vm ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49 Andromedae,,,49,,,,Andromedae,,HD 9057 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,129.7507889,-15.35192845,9.7947,K0III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 Andromedae,,,55,,,,Andromedae,,HD 11428 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,135.3999555,-20.63974546,4.4983,K1III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 Andromedae,,,56,,,,Andromedae,,HD 11749 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,136.9664928,-23.84984715,9.9608,K0III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 Andromedae,,,58,,,,Andromedae,,HD 13041 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,139.3127856,-22.54950189,17.2479,A5IV-V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
59 Andromedae A,,,59,,,,Andromedae,,HD 13294 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,139.3823052,-21.28113212,7.4763,B9V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
59 Andromedae B,,,59,,,,Andromedae,,HD 13295 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,139.383727,-21.27669531,7.4108,A1Vn ,,,,,,,,,,,,,,,,,,,,,,,,,,,
61 Andromedae,,,61,,,,Andromedae,,HD 14134 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*b,134.6392877,-3.730805573,0.4348,B3Ia ,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 Andromedae,,,63,,,,Andromedae,,HD 14392 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,137.2866077,-10.20824216,8.5275,B9VpSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
64 Andromedae,,,64,,,,Andromedae,,HD 14770 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,137.8641599,-10.15020673,8.0682,G8III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 Andromedae,,,65,,,,Andromedae,,HD 14872 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,137.9485297,-9.826766319,7.6317,K4.5III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
66 Andromedae,,,66,,,,Andromedae,,HD 15138 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,138.1776104,-9.425427708,18.4347,F4V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ Andromedae,,,,Y,,AQ,Andromedae,,HD 2342 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,117.4763922,-27.03098277,1.259,C-N5+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC Andromedae,,,,Y,,BC,Andromedae,,HD 217542 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,103.8652067,-12.22784992,1.8413,M7III: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE Andromedae,,,,Y,,BE,Andromedae,,HD 219961 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,107.710547,-11.47293562,1.7104,M8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
