designation,l,b,parallax,phot_g_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,mh_gspphot,logg_gspphot,SIMBAD_ID,Spectral_Type,Object_Type,distance,adjusted_mag,X,Y,Z,Sector_Reference,label_name
Gaia DR3 6732498233062125568,2.351357565037191,-16.67052200722041,12.983813859439485,9.95748,1.0740337,0.4539709,0.6200628,4974.656,0.033,4.4523,CD-34 13313,,PM*,77.01897230088375,-0.24985302953552946,73.71975841669487,3.0270796958182844,-22.09425494972867,C8-S1-D3,CD-34 13313
Gaia DR3 6794090469261131776,12.992140100293481,-36.634812978017344,12.989705272938098,11.939707,,,,,,,CD-31 17808B,,PM*,76.98404074519956,1.7346415807265263,60.194817983952,13.888371294695796,-45.93734385136025,C7-S2-D5,CD-31 17808 B
Gaia DR3 4100375556328900608,18.073115951186566,-4.693511817250585,12.981079212510123,19.510893,,,,,,,,,,77.035197430756,9.302506198505695,72.98880885529668,23.81851968693006,-6.303455005300361,C8-S3-D1,
Gaia DR3 4276530173933593600,30.23739602446502,7.730863353333066,12.981910283934136,20.587372,2.2438068,0.86545753,1.3783493,,,,,,,77.03026581824076,10.379305255145194,65.94513259588267,38.438626736751495,10.36210951172471,C7-S4-U2,
Gaia DR3 4604312869548341248,59.14260471019961,25.891347665281213,12.98248042652683,13.395039,2.1505423,1.103816,1.0467262,3632.084,-0.6939,4.5596,Gaia DR3 4604312869548341248,,*,77.02688293345861,3.187191620065107,35.54172614537823,59.48623438662701,33.635016211545796,C4-S6-U4,Gaia DR3 4604312869548341248
Gaia DR3 2018897107504656640,56.05427107822206,2.371255420976434,12.984806741187475,20.532675,2.233017,0.29061127,1.9424057,,,,,,,77.01308305406083,10.325723668330703,42.96784965226969,63.83279645154605,3.18637018048887,C5-S7-U1,
Gaia DR3 2022978082347125760,58.075703384938016,4.595569629550802,12.988092795235627,20.716215,1.53129,0.47503853,1.0562515,,,,,,,76.99359834931471,10.510529198252652,40.583191164431554,65.1380367499049,6.168869430847096,C5-S7-U1,
Gaia DR3 4515600899874844416,54.27191917195293,0.827676730116662,12.987084652715998,19.321112,4.0335217,2.5529938,1.4805279,,,,2MASS J19284627+1917391,,LM*,76.99957509639158,9.11503762599849,44.958374790123585,62.50153558402097,1.1122728509611446,C5-S7-U1,2MASS J19284627+1917391
Gaia DR3 4519704728259942656,53.09421500713683,6.408824579106878,12.98875429942022,20.955105,1.0773201,0.29506302,0.7822571,,,,,,,76.9896771428371,10.749673543919148,45.94345718194984,61.178074063887905,8.593740894516186,C5-S7-U1,
Gaia DR3 2025236994628230016,61.38583445559538,3.8636935630109126,12.982629024424593,20.289877,1.8131351,0.025724411,1.7874107,,,,,,,77.0260012913156,10.082087183031838,36.804597586108954,67.46471512246366,5.1902490209197945,C4-S7-U1,
Gaia DR3 2025271354339536512,61.786257208326695,3.7850639167544218,12.987882628130748,20.704737,1.5272293,0.32296753,1.2042618,,,,,,,76.99484424305447,10.498969865917477,36.3208477210731,67.69909899846402,5.08272128205005,C4-S7-U1,
Gaia DR3 5933150324773147776,330.85179290877846,-1.4358937035116588,12.989347761740262,20.785002,2.0528393,0.49523926,1.5576,,,,,,,76.98615960883504,10.579798917942224,67.21572892120838,-37.485902983872236,-1.9291538018969134,C7-T4-D1,
Gaia DR3 5985123346043032832,333.46414734662983,5.390594182837945,12.986419522700201,12.6259365,1.9590807,0.96210575,0.99697495,4047.2595,0.2138,4.6427,Gaia DR3 5985123346043032832,,PM*,77.00351881070873,2.4196063748994554,68.58690165390998,-34.24977120709131,7.234086190387339,C7-T4-U1,Gaia DR3 5985123346043032832
Gaia DR3 5891386646896893056,316.55044977290305,2.2184847712301634,12.981093701345666,15.5865135,2.782549,1.5721455,1.2104034,,,,Gaia DR3 5891386646896893056,,*,77.03511144799275,5.37813243049923,55.88404766504803,-52.93854009526866,2.982043755033514,C6-T6-U1,Gaia DR3 5891386646896893056
Gaia DR3 4689514914639775488,306.3762408185776,-43.895983602492414,12.987734872173341,12.416303,1.7956734,0.8750801,0.92059326,4114.648,0.0004,4.662,UCAC4 085-000243,,*,76.99572018077869,2.2104789547337944,32.90619453830815,-44.67164760115193,-53.385083944509134,C4-T5-D6,UCAC4 085-000243
